Unnamed: 0,Age,Distance,Gains,Cote,Somme,Somme carre,Moyenne,Ecart Popu,Ecart Echant,a,b,c
,8,2750,99635,55,102448,9934698814,25612.0,42751.61002231378,49365.30710934553,1.9077917568340168e-19,6.937424570305515e-23,0.0003636363636363636
,8,2750,103125,7,105890,10642328238,26472.5,44269.50195394116,51118.01773999718,1.6609046512499423e-19,6.039653277272517e-23,0.0003636363636363636
,8,2750,110092,30,112880,12127811928,28220.0,47281.96888878466,54596.51493151066,1.2776651932966157e-19,4.64605524835133e-23,0.00036363636363636367
,7,2750,119145,4,121906,14203093590,30476.5,51205.04218580432,59126.48977968053,9.302125996033237e-20,3.3825912712848135e-23,0.0003636363636363636
,7,2750,121600,9,124366,14794122630,31091.5,52267.09562669424,60352.84345966366,8.571260073190715e-20,3.1168218447966236e-23,0.00036363636363636367
,7,2750,124380,28,127165,15477947733,31791.25,53467.77867732584,61739.27282465081,7.828759719531507e-20,2.846821716193275e-23,0.0003636363636363636
,8,2750,126292,12,129062,15957231972,32265.5,54297.748597432656,62697.639538236734,7.363247859417772e-20,2.677544676151917e-23,0.0003636363636363636
,8,2750,128835,22,131615,16606020273,32903.75,55397.18678947064,63967.161410497705,6.797506598309078e-20,2.4718205812033012e-23,0.00036363636363636367
,7,2775,193640,8,196430,37504150338,49107.5,83453.52615827566,96363.83158460785,1.3262393482265068e-20,4.779240894509935e-24,0.00036036036036036037
,9,2775,205340,15,208139,42172216531,52034.75,88518.01469298496,102211.79922225222,1.0483368828922485e-20,3.7777905689810756e-24,0.0003603603603603603
,7,2775,207245,11,210038,42958190820,52509.5,89343.71894403097,103165.2403654771,1.0102214556472944e-20,3.640437678008268e-24,0.00036036036036036037
,8,2775,208030,16,210829,43284181845,52707.25,89682.72553110492,103556.6914540855,9.950475011404327e-21,3.5857567608664246e-24,0.0003603603603603604
,8,2775,208890,3,211676,43642732798,52919.0,90056.99661047997,103988.86247093964,9.786868824715972e-21,3.526799576474224e-24,0.00036036036036036037
,9,2775,213810,20,216614,45722417206,54153.5,92184.61226934785,106445.62141769852,8.91547679788252e-21,3.2127844316693768e-24,0.00036036036036036037
